Name,Age,Gender,Marital Status,Employment Type,Industry,Years with Current Employer,Education Level,CIBIL Score,Loan Type,Loan Purpose,Loan Amount Requested,Loan Tenure,Existing Loans,Loan Repayment History,DTI Ratio,Credit Utilization Ratio,Credit Card Payment Behavior,Monthly Income,Income Stability,Total Savings & Deposits,Bank Account Activity,Large Transactions Before Loan,Number of Credit Cards,Total Credit Limit,Utility & Rent Payments History,Fraud
Blake Sims,40,Male,Married,Self-Employed,Manufacturing,4,Masters,869,Personal Loan,Medical Emergency,436291,84,1,Poor,0.72,0.42,On-Time,88207,Stable,72043,High,1,1,403898,Late Payments,0
Amanda Kim,28,Male,Single,Self-Employed,Manufacturing,14,PhD,522,Home Loan,Home Renovation,362679,48,1,Poor,0.18,0.71,Late Payments,54704,Stable,481889,Low,1,2,230349,Missed Payments,0
Alexandria Acevedo,58,Male,Divorced,Salaried,Manufacturing,11,Masters,387,Personal Loan,Debt Consolidation,254120,12,2,Poor,0.82,0.29,Late Payments,186500,Stable,121667,High,1,1,340817,Missed Payments,0
Kelly King,46,Female,Single,Unemployed,Finance,9,High School,589,Home Loan,Buying a House,65641,12,1,Poor,0.54,0.72,On-Time,150473,Unstable,81092,Low,1,3,248075,Late Payments,0
Daniel Adams,35,Male,Married,Self-Employed,Finance,3,Masters,778,Personal Loan,Wedding,255550,12,4,Poor,0.3,0.89,Missed Payments,143338,Unstable,33375,Low,1,1,478761,On-Time,0
Carolyn Lindsey,57,Female,Single,Salaried,Finance,8,High School,414,Personal Loan,Medical Emergency,173791,60,4,Poor,0.66,0.16,Missed Payments,84891,Unstable,95267,High,1,2,192444,Missed Payments,1
Jessica Jennings,31,Male,Married,Salaried,Healthcare,17,PhD,407,Car Loan,Car Repair,276405,36,1,Poor,0.85,0.97,Missed Payments,126227,Stable,44871,Low,1,4,355841,Missed Payments,1
Shannon Edwards,64,Male,Divorced,Unemployed,Manufacturing,17,High School,866,Business Loan,Equipment Purchase,402994,36,4,Good,0.89,0.71,Missed Payments,103959,Unstable,322454,High,0,3,227311,On-Time,0
Sheila Brown,26,Female,Single,Self-Employed,Education,4,Masters,446,Personal Loan,Medical Emergency,75757,12,3,Average,0.38,0.24,Late Payments,91052,Unstable,467784,High,1,3,267736,Missed Payments,0
Robin Parker,20,Male,Married,Salaried,IT,1,Bachelors,860,Home Loan,Buying a House,58541,60,3,Poor,0.13,0.63,Missed Payments,41902,Stable,123469,Moderate,1,3,367209,On-Time,0
Nathaniel Clarke,37,Male,Divorced,Unemployed,IT,2,High School,692,Personal Loan,Wedding,181168,84,3,Average,0.2,0.26,Late Payments,122083,Stable,76865,Low,0,4,404104,Late Payments,0
Kenneth Prince,69,Male,Divorced,Salaried,Manufacturing,15,PhD,482,Home Loan,Property Investment,273312,36,4,Average,0.6,0.4,On-Time,186063,Unstable,442115,Low,0,3,145228,Missed Payments,0
Stephanie Lynch,59,Female,Divorced,Self-Employed,IT,0,PhD,436,Personal Loan,Medical Emergency,97281,24,0,Poor,0.82,0.15,On-Time,42728,Unstable,385389,Moderate,1,4,460487,On-Time,0
Hannah Rose,25,Female,Married,Self-Employed,Finance,17,Bachelors,520,Personal Loan,Medical Emergency,345261,84,2,Average,0.44,0.23,Late Payments,38289,Unstable,262727,Moderate,0,3,215287,Late Payments,0
Jessica Jenkins,57,Male,Married,Unemployed,Finance,9,Masters,335,Business Loan,Business Expansion,371841,48,4,Good,0.43,0.56,On-Time,79866,Unstable,314090,Low,1,1,394176,Missed Payments,0
Carolyn Lindsey,57,Female,Single,Salaried,Finance,8,High School,414,Personal Loan,Medical Emergency,173791,60,4,Poor,0.66,0.16,Missed Payments,84891,Unstable,95267,High,1,2,192444,Missed Payments,1
Hayden Peterson,43,Male,Single,Unemployed,Education,15,Bachelors,307,Business Loan,Working Capital,180371,12,4,Good,0.57,0.48,On-Time,155388,Unstable,321811,High,1,2,333902,Missed Payments,0
Grant Harris,31,Female,Single,Self-Employed,IT,4,Masters,869,Home Loan,Property Investment,382656,24,1,Poor,0.16,0.75,On-Time,41816,Unstable,352695,High,1,3,129687,Missed Payments,0
Benjamin Smith,61,Male,Single,Unemployed,IT,18,PhD,812,Personal Loan,Vacation,37623,72,2,Good,0.31,0.48,Late Payments,159235,Unstable,352721,Moderate,1,1,320798,Missed Payments,0
Christopher Dean MD,67,Female,Divorced,Self-Employed,Finance,9,High School,667,Personal Loan,Vacation,146254,36,3,Good,0.12,0.71,Missed Payments,197321,Unstable,426004,Moderate,0,4,362681,Missed Payments,0
Joseph Davenport,30,Female,Single,Unemployed,Healthcare,4,High School,653,Car Loan,Car Repair,266564,48,3,Average,0.3,0.82,On-Time,74327,Unstable,357201,Moderate,1,1,163790,On-Time,0
Garrett Morrison,67,Female,Single,Unemployed,Healthcare,11,Masters,524,Home Loan,Home Renovation,254252,72,2,Average,0.64,0.43,Missed Payments,83873,Stable,97060,Moderate,0,2,89503,Late Payments,0
Mr. Robert Burns,47,Male,Married,Salaried,Education,4,High School,607,Car Loan,Car Repair,82146,72,1,Average,0.61,0.94,Late Payments,173098,Unstable,326329,Moderate,0,1,313906,Late Payments,0
Sharon Coleman,44,Female,Divorced,Unemployed,Education,11,PhD,636,Personal Loan,Medical Emergency,330640,36,4,Poor,0.55,0.42,Late Payments,177657,Unstable,338570,High,1,3,310084,Missed Payments,0
Derek Martin,65,Female,Divorced,Salaried,IT,4,Bachelors,889,Car Loan,Car Repair,207624,12,2,Good,0.75,0.93,Missed Payments,176462,Unstable,101121,Low,1,3,307416,Late Payments,0
Sherri Gilbert,56,Male,Single,Unemployed,Finance,9,High School,883,Business Loan,Working Capital,460397,12,0,Average,0.77,0.62,Late Payments,98166,Stable,90049,Moderate,0,4,164198,Late Payments,0
Christopher Myers,29,Female,Married,Unemployed,Finance,6,High School,373,Car Loan,Vehicle Purchase,480908,96,4,Poor,0.3,0.42,Late Payments,36591,Stable,231489,High,1,4,172099,On-Time,0
Melissa Vasquez,27,Male,Divorced,Unemployed,Finance,17,Bachelors,644,Business Loan,Working Capital,215334,96,2,Average,0.31,0.59,Late Payments,85517,Unstable,377146,Moderate,0,1,440212,On-Time,0
Gregory Cline,33,Male,Married,Self-Employed,Manufacturing,12,Bachelors,661,Home Loan,Buying a House,362509,60,3,Poor,0.38,0.94,Late Payments,29555,Unstable,213758,Low,0,3,472995,Missed Payments,0
Emily Knight,56,Female,Divorced,Self-Employed,IT,7,Masters,848,Business Loan,Business Expansion,14368,24,0,Average,0.77,0.11,Late Payments,47344,Stable,212845,Moderate,1,2,315999,Late Payments,0
Jessica Miller,53,Male,Married,Self-Employed,Manufacturing,18,Masters,361,Car Loan,Vehicle Purchase,156780,84,3,Poor,0.83,0.43,Missed Payments,168804,Unstable,381264,High,0,4,185645,Late Payments,1
Nancy Bray,37,Male,Divorced,Salaried,IT,4,PhD,622,Home Loan,Property Investment,232617,24,2,Poor,0.41,1,Missed Payments,44082,Stable,190423,Low,1,2,202661,Late Payments,0
Justin Baldwin,33,Female,Single,Salaried,Manufacturing,2,High School,542,Car Loan,Car Repair,66457,84,2,Poor,0.69,0.44,Late Payments,32704,Stable,180752,Low,0,2,141414,Late Payments,0
Jill Johnson,61,Male,Divorced,Salaried,Education,18,Masters,859,Car Loan,Vehicle Purchase,341938,84,0,Average,0.81,0.82,On-Time,24198,Stable,407934,Moderate,0,1,65377,Missed Payments,0
Aaron Hanna,26,Female,Single,Unemployed,Education,19,Bachelors,459,Personal Loan,Medical Emergency,387258,72,1,Poor,0.78,0.14,Missed Payments,104297,Unstable,399874,Low,1,1,314666,Missed Payments,1
Karen Moses,38,Female,Married,Salaried,Finance,13,High School,372,Car Loan,Car Repair,379024,24,4,Average,0.37,0.99,On-Time,177498,Unstable,202859,High,1,1,132733,On-Time,0
Jessica Jennings,31,Male,Married,Salaried,Healthcare,17,PhD,407,Car Loan,Car Repair,276405,36,1,Poor,0.85,0.97,Missed Payments,126227,Stable,44871,Low,1,4,355841,Missed Payments,1
Amy Allen,37,Female,Married,Unemployed,Finance,10,Masters,753,Home Loan,Buying a House,90869,24,0,Average,0.36,0.52,On-Time,152502,Unstable,345105,Low,0,4,87090,Late Payments,0
Kelly Peck,65,Female,Divorced,Unemployed,IT,7,High School,456,Home Loan,Buying a House,324142,60,4,Poor,0.52,0.34,Missed Payments,127053,Stable,55525,Moderate,0,4,102643,On-Time,0
Tracy Frazier,49,Male,Married,Salaried,Education,5,PhD,669,Personal Loan,Vacation,254146,84,1,Poor,0.62,0.5,On-Time,26544,Stable,21214,Low,1,2,67284,Late Payments,0
Jocelyn Mitchell,39,Female,Divorced,Salaried,Education,10,High School,339,Personal Loan,Wedding,305460,72,0,Average,0.82,0.71,Missed Payments,24350,Stable,388357,Low,1,2,315382,Late Payments,0
Alicia Mitchell,31,Male,Single,Salaried,Finance,4,High School,425,Car Loan,Vehicle Purchase,281849,12,1,Average,0.25,0.28,Late Payments,93748,Stable,218416,Low,1,4,378858,Late Payments,0
Carolyn Lindsey,57,Female,Single,Salaried,Finance,8,High School,414,Personal Loan,Medical Emergency,173791,60,4,Poor,0.66,0.16,Missed Payments,84891,Unstable,95267,High,1,2,192444,Missed Payments,1
Samantha Bailey,36,Male,Single,Salaried,Finance,18,High School,487,Personal Loan,Wedding,75588,60,3,Average,0.74,0.34,Late Payments,81409,Unstable,498155,High,0,3,80464,Late Payments,0
Teresa Banks,48,Female,Single,Self-Employed,Finance,9,High School,322,Personal Loan,Debt Consolidation,78553,36,4,Poor,0.88,0.77,Missed Payments,107084,Unstable,366432,Low,1,4,87741,Missed Payments,1
Julie Cochran,20,Male,Divorced,Self-Employed,IT,14,High School,881,Business Loan,Working Capital,286951,84,3,Poor,0.23,0.91,On-Time,83124,Unstable,256900,Moderate,1,2,279155,On-Time,0
Jake Morgan,19,Male,Married,Salaried,IT,12,Masters,501,Home Loan,Property Investment,82929,60,2,Average,0.21,0.26,On-Time,45579,Unstable,265017,Moderate,0,3,343133,Late Payments,0
Aaron Hanna,26,Female,Single,Unemployed,Education,19,Bachelors,459,Personal Loan,Medical Emergency,387258,72,1,Poor,0.78,0.14,Missed Payments,104297,Unstable,399874,Low,1,1,314666,Missed Payments,1
Rita Mitchell,63,Female,Married,Self-Employed,Finance,13,High School,568,Car Loan,Vehicle Purchase,229774,72,2,Average,0.2,0.5,On-Time,26103,Stable,315254,High,0,4,323419,Missed Payments,0
Jessica Jennings,31,Male,Married,Salaried,Healthcare,17,PhD,407,Car Loan,Car Repair,276405,36,1,Poor,0.85,0.97,Missed Payments,126227,Stable,44871,Low,1,4,355841,Missed Payments,1
Chad Blake,49,Female,Single,Unemployed,IT,2,Masters,442,Business Loan,Business Expansion,64499,96,0,Poor,0.63,0.87,Missed Payments,93177,Unstable,236064,High,0,3,64767,Late Payments,1
Tanya Nelson,24,Female,Single,Salaried,IT,4,Bachelors,405,Home Loan,Property Investment,112290,96,1,Good,0.43,0.33,Missed Payments,61747,Stable,398702,Low,1,2,446334,Missed Payments,0
Michelle Murray,28,Male,Single,Unemployed,Healthcare,14,PhD,601,Car Loan,Vehicle Purchase,361059,12,1,Average,0.26,0.37,On-Time,173024,Unstable,480350,Moderate,0,1,491713,On-Time,0
Brittney Nunez MD,38,Male,Divorced,Unemployed,Healthcare,7,PhD,788,Business Loan,Business Expansion,382266,48,2,Average,0.15,0.8,Missed Payments,150082,Unstable,161115,Low,1,4,183336,Missed Payments,0
Amber Jones,53,Female,Divorced,Self-Employed,Healthcare,12,PhD,630,Personal Loan,Medical Emergency,21576,48,4,Poor,0.37,0.98,On-Time,182566,Unstable,168782,Moderate,1,1,238933,Late Payments,0
Robert Washington,26,Female,Divorced,Self-Employed,Healthcare,5,High School,305,Business Loan,Working Capital,408263,48,4,Poor,0.61,0.16,On-Time,188287,Unstable,263468,High,1,4,354062,Late Payments,0
Heather Smith,50,Female,Divorced,Salaried,Healthcare,0,Bachelors,383,Business Loan,Working Capital,303150,72,3,Good,0.8,0.34,On-Time,97881,Stable,121558,Moderate,0,1,224963,Missed Payments,0
Ronnie Ramirez,21,Male,Single,Unemployed,Manufacturing,9,High School,771,Business Loan,Equipment Purchase,479297,96,3,Average,0.29,0.91,On-Time,142108,Unstable,271698,Moderate,0,1,268842,Missed Payments,0
Steven Alvarado,59,Female,Married,Salaried,Healthcare,15,High School,603,Business Loan,Working Capital,20236,36,2,Average,0.31,0.73,Missed Payments,97533,Unstable,133632,Low,1,3,301439,Missed Payments,0
Rita Mitchell,63,Female,Married,Self-Employed,Finance,13,High School,568,Car Loan,Vehicle Purchase,229774,72,2,Average,0.2,0.5,On-Time,26103,Stable,315254,High,0,4,323419,Missed Payments,0
Brittany Turner,63,Male,Divorced,Unemployed,Finance,4,Bachelors,825,Home Loan,Property Investment,141839,96,0,Good,0.77,0.61,Late Payments,93718,Stable,33466,Low,0,4,347886,Late Payments,0
Alexander Smith,62,Female,Single,Self-Employed,Finance,1,Masters,681,Personal Loan,Debt Consolidation,478685,96,2,Poor,0.4,0.87,On-Time,104137,Unstable,63403,Low,0,2,222615,On-Time,0
Ronald Ortega,52,Male,Married,Unemployed,Manufacturing,7,Masters,563,Personal Loan,Medical Emergency,374287,60,1,Average,0.32,0.66,On-Time,197020,Unstable,464400,Moderate,1,3,448425,On-Time,0
Hannah Johnson,58,Female,Single,Unemployed,IT,18,Masters,369,Home Loan,Property Investment,313221,36,2,Poor,0.26,0.71,On-Time,37427,Stable,35031,Moderate,1,2,218472,Missed Payments,0
Ricky Johnson,37,Female,Divorced,Self-Employed,Education,17,High School,627,Business Loan,Working Capital,132874,96,1,Average,0.55,0.98,Missed Payments,79458,Stable,89092,High,0,3,65539,Missed Payments,0
Gina Montes,39,Male,Single,Unemployed,Manufacturing,17,Bachelors,739,Car Loan,Car Repair,432681,60,1,Poor,0.56,0.29,Missed Payments,90062,Stable,150395,High,1,4,95861,Late Payments,0
Thomas Walters,53,Female,Married,Self-Employed,Manufacturing,16,High School,493,Business Loan,Business Expansion,218920,72,0,Poor,0.71,0.5,Missed Payments,114456,Stable,124210,Moderate,0,1,225638,Missed Payments,1
Heather Robinson,39,Male,Single,Salaried,Healthcare,2,PhD,663,Home Loan,Property Investment,248924,60,0,Average,0.38,1,Missed Payments,166119,Stable,460280,Low,1,2,104715,Missed Payments,0
Chad Blake,49,Female,Single,Unemployed,IT,2,Masters,442,Business Loan,Business Expansion,64499,96,0,Poor,0.63,0.87,Missed Payments,93177,Unstable,236064,High,0,3,64767,Late Payments,1
Joseph Lopez,35,Male,Divorced,Self-Employed,IT,0,High School,470,Car Loan,Vehicle Purchase,237908,72,3,Good,0.81,0.33,Late Payments,124771,Stable,121834,Low,0,3,57436,Late Payments,0
Kimberly Park,19,Male,Married,Salaried,Education,15,Masters,496,Personal Loan,Vacation,212524,36,1,Good,0.1,0.31,Late Payments,70539,Unstable,192538,Moderate,0,4,143328,Missed Payments,0
Amanda Scott,37,Male,Divorced,Salaried,Manufacturing,0,Masters,768,Business Loan,Working Capital,285517,60,3,Poor,0.8,1,Missed Payments,48771,Stable,321406,High,0,2,453949,Missed Payments,0
Christine Miller,19,Female,Single,Self-Employed,Finance,17,PhD,471,Business Loan,Business Expansion,425671,36,2,Poor,0.62,0.33,On-Time,41479,Unstable,191134,High,1,4,106847,On-Time,0
Tara Browning,36,Female,Married,Salaried,Finance,14,Bachelors,498,Car Loan,Vehicle Purchase,459636,72,2,Average,0.13,0.93,On-Time,167792,Unstable,253787,High,0,3,224494,Late Payments,0
Wyatt Williams,45,Female,Single,Salaried,Education,3,Bachelors,750,Car Loan,Vehicle Purchase,65488,96,0,Poor,0.44,0.58,Late Payments,159448,Unstable,27335,High,1,4,258166,Missed Payments,0
Mr. John Hall MD,66,Female,Married,Self-Employed,Finance,8,PhD,570,Personal Loan,Debt Consolidation,475241,84,0,Good,0.71,0.48,Missed Payments,127579,Unstable,439235,High,0,3,66126,On-Time,0
Aaron Hanna,26,Female,Single,Unemployed,Education,19,Bachelors,459,Personal Loan,Medical Emergency,387258,72,1,Poor,0.78,0.14,Missed Payments,104297,Unstable,399874,Low,1,1,314666,Missed Payments,1
Scott Horton,57,Female,Single,Unemployed,Education,10,High School,324,Business Loan,Business Expansion,83069,12,2,Good,0.1,0.45,Late Payments,128069,Unstable,14956,Low,1,4,226542,Late Payments,0
Thomas Walters,53,Female,Married,Self-Employed,Manufacturing,16,High School,493,Business Loan,Business Expansion,218920,72,0,Poor,0.71,0.5,Missed Payments,114456,Stable,124210,Moderate,0,1,225638,Missed Payments,1
Jessica Foster,46,Male,Single,Unemployed,Manufacturing,14,Masters,404,Personal Loan,Debt Consolidation,191533,12,4,Poor,0.8,0.4,Missed Payments,143256,Stable,372855,High,1,3,139975,Missed Payments,1
Scott Benitez,27,Female,Single,Unemployed,Education,0,High School,462,Home Loan,Home Renovation,313910,48,3,Poor,0.53,0.9,On-Time,25985,Unstable,231082,High,0,1,405174,Late Payments,0
Vickie Wilson,32,Male,Divorced,Salaried,Education,18,Masters,527,Car Loan,Vehicle Purchase,155546,12,4,Good,0.56,0.56,Missed Payments,110028,Unstable,471060,High,0,1,70580,On-Time,0
Brent Carpenter,44,Female,Single,Unemployed,IT,10,Bachelors,723,Personal Loan,Medical Emergency,18013,24,4,Poor,0.51,0.74,Missed Payments,56129,Stable,421647,Low,0,2,73674,On-Time,0
Grant Harris,31,Female,Single,Self-Employed,IT,4,Masters,869,Home Loan,Property Investment,382656,24,1,Poor,0.16,0.75,On-Time,41816,Unstable,352695,High,1,3,129687,Missed Payments,0
Courtney Hernandez,52,Male,Divorced,Salaried,IT,2,Bachelors,778,Home Loan,Property Investment,372687,96,4,Average,0.41,0.54,On-Time,107887,Stable,476080,Low,1,2,425590,Missed Payments,0
Patricia Thompson,33,Male,Divorced,Unemployed,IT,4,Bachelors,309,Home Loan,Property Investment,369330,84,2,Poor,0.89,0.27,Missed Payments,47991,Unstable,145654,High,0,3,138797,Missed Payments,1
Christopher Armstrong,55,Male,Single,Unemployed,Finance,18,High School,722,Car Loan,Vehicle Purchase,171871,24,0,Average,0.69,0.64,Missed Payments,190285,Stable,304082,Low,0,3,402110,Missed Payments,0
Jessica Miller,53,Male,Married,Self-Employed,Manufacturing,18,Masters,361,Car Loan,Vehicle Purchase,156780,84,3,Poor,0.83,0.43,Missed Payments,168804,Unstable,381264,High,0,4,185645,Late Payments,1
April Rosario,61,Female,Single,Unemployed,IT,7,Masters,695,Personal Loan,Vacation,386582,60,4,Average,0.51,0.21,On-Time,152637,Unstable,222290,High,1,2,103007,Late Payments,0
Dustin Williams,53,Male,Married,Self-Employed,Education,9,High School,799,Personal Loan,Medical Emergency,257710,84,4,Poor,0.21,0.68,Late Payments,28605,Stable,142277,Moderate,0,2,146616,Late Payments,0
Denise Fox,52,Male,Divorced,Self-Employed,Manufacturing,3,High School,547,Car Loan,Car Repair,15572,84,4,Good,0.89,0.61,On-Time,192588,Unstable,209305,Moderate,1,3,381804,On-Time,0
Jessica Jennings,31,Male,Married,Salaried,Healthcare,17,PhD,407,Car Loan,Car Repair,276405,36,1,Poor,0.85,0.97,Missed Payments,126227,Stable,44871,Low,1,4,355841,Missed Payments,1
Brittney Nunez MD,38,Male,Divorced,Unemployed,Healthcare,7,PhD,788,Business Loan,Business Expansion,382266,48,2,Average,0.15,0.8,Missed Payments,150082,Unstable,161115,Low,1,4,183336,Missed Payments,0
Amy Thomas,64,Female,Divorced,Unemployed,IT,3,PhD,728,Personal Loan,Medical Emergency,482485,12,3,Poor,0.8,0.92,Missed Payments,91496,Unstable,301340,Low,1,3,465366,On-Time,0
Andrea Macias,32,Female,Single,Salaried,Healthcare,7,Bachelors,679,Home Loan,Buying a House,212564,36,2,Average,0.25,0.11,On-Time,43321,Stable,285614,High,1,2,62965,On-Time,0
Jimmy Clarke,45,Male,Married,Self-Employed,Education,7,Masters,398,Business Loan,Business Expansion,479213,60,3,Good,0.51,0.79,Late Payments,114998,Stable,394975,Moderate,1,1,68475,Late Payments,0
Devin Phillips MD,44,Male,Married,Salaried,Healthcare,1,PhD,394,Personal Loan,Vacation,174656,60,1,Average,0.46,0.57,On-Time,132170,Stable,36632,Moderate,1,1,137474,Missed Payments,0
Colleen Robinson,45,Male,Married,Salaried,Finance,14,Bachelors,830,Business Loan,Equipment Purchase,217330,60,4,Average,0.22,0.74,Late Payments,93821,Unstable,385527,Low,0,4,159683,On-Time,0
Carolyn Johnson,22,Female,Married,Salaried,Education,12,Masters,415,Home Loan,Property Investment,64908,60,1,Average,0.84,0.88,On-Time,32734,Unstable,131557,Low,1,4,112049,On-Time,0
Daniel Cruz,36,Female,Married,Unemployed,Manufacturing,18,Bachelors,887,Business Loan,Business Expansion,399321,60,2,Average,0.67,0.83,Late Payments,170115,Stable,358629,High,1,4,425527,Late Payments,0
Beth Peterson,39,Male,Single,Salaried,Manufacturing,14,PhD,724,Business Loan,Working Capital,248624,48,3,Good,0.75,0.81,On-Time,44401,Stable,246569,Low,0,4,131928,On-Time,0
Patricia Davis,20,Male,Married,Salaried,Education,13,Masters,372,Car Loan,Car Repair,403333,24,2,Average,0.53,0.8,Late Payments,197513,Unstable,365755,Moderate,1,3,290761,Missed Payments,0
Megan Carter,36,Male,Single,Unemployed,Finance,13,Bachelors,394,Car Loan,Car Repair,182005,84,4,Good,0.37,0.11,Late Payments,193111,Unstable,462496,High,1,1,468191,On-Time,0
Jessica Jennings,31,Male,Married,Salaried,Healthcare,17,PhD,407,Car Loan,Car Repair,276405,36,1,Poor,0.85,0.97,Missed Payments,126227,Stable,44871,Low,1,4,355841,Missed Payments,1
Joshua Lee,41,Male,Married,Salaried,Healthcare,7,PhD,304,Personal Loan,Medical Emergency,402063,12,3,Good,0.47,0.93,Late Payments,129573,Stable,156023,Moderate,0,1,305289,Missed Payments,0
Julie Hall,47,Female,Divorced,Unemployed,Healthcare,1,PhD,808,Car Loan,Vehicle Purchase,180764,24,4,Good,0.38,0.53,Late Payments,68873,Stable,31877,Low,1,1,241046,On-Time,0
Stephanie Lynch,59,Female,Divorced,Self-Employed,IT,0,PhD,436,Personal Loan,Medical Emergency,97281,24,0,Poor,0.82,0.15,On-Time,42728,Unstable,385389,Moderate,1,4,460487,On-Time,0
Robert Keith,25,Female,Married,Unemployed,Manufacturing,15,Bachelors,318,Home Loan,Property Investment,178106,72,4,Good,0.83,0.43,Late Payments,76863,Unstable,324321,Moderate,0,1,265890,Late Payments,0
Theresa Wiggins,44,Male,Divorced,Self-Employed,Finance,4,PhD,626,Business Loan,Working Capital,164857,60,0,Good,0.25,0.18,Missed Payments,159280,Unstable,169994,Low,0,2,395242,On-Time,0
Brian Graham,35,Male,Single,Self-Employed,IT,11,Masters,745,Home Loan,Buying a House,443862,84,4,Average,0.18,0.67,Late Payments,155702,Unstable,414941,Low,1,1,323487,Late Payments,0
Thomas Walters,53,Female,Married,Self-Employed,Manufacturing,16,High School,493,Business Loan,Business Expansion,218920,72,0,Poor,0.71,0.5,Missed Payments,114456,Stable,124210,Moderate,0,1,225638,Missed Payments,1
Teresa Banks,48,Female,Single,Self-Employed,Finance,9,High School,322,Personal Loan,Debt Consolidation,78553,36,4,Poor,0.88,0.77,Missed Payments,107084,Unstable,366432,Low,1,4,87741,Missed Payments,1
Mr. Michael Willis,37,Female,Divorced,Self-Employed,Healthcare,3,Bachelors,804,Car Loan,Car Repair,429529,36,2,Good,0.35,0.37,Late Payments,167784,Stable,172418,Moderate,1,1,110037,On-Time,0
Emily Stein,61,Female,Married,Unemployed,IT,16,PhD,561,Business Loan,Working Capital,187697,36,0,Good,0.62,0.24,Missed Payments,111472,Unstable,104730,Low,0,1,293650,On-Time,0
Brian Young,61,Female,Divorced,Unemployed,IT,4,Bachelors,671,Personal Loan,Medical Emergency,354906,84,3,Poor,0.37,0.42,On-Time,40391,Stable,424419,High,1,1,54136,On-Time,0
Jacob Barker,69,Male,Married,Self-Employed,Healthcare,11,Masters,359,Car Loan,Vehicle Purchase,23358,24,1,Average,0.45,0.99,Missed Payments,59641,Stable,91590,High,1,1,260126,On-Time,0
Sarah Moore,39,Male,Single,Unemployed,Education,2,PhD,413,Car Loan,Vehicle Purchase,300983,24,2,Good,0.43,0.94,Late Payments,73919,Unstable,208861,Moderate,0,1,468367,Missed Payments,0
Corey Day,18,Female,Single,Self-Employed,Education,7,High School,481,Car Loan,Car Repair,329133,48,0,Poor,0.41,0.26,Late Payments,131374,Unstable,323287,Low,1,3,193940,Late Payments,0
Jessica Foster,46,Male,Single,Unemployed,Manufacturing,14,Masters,404,Personal Loan,Debt Consolidation,191533,12,4,Poor,0.8,0.4,Missed Payments,143256,Stable,372855,High,1,3,139975,Missed Payments,1
Jessica Jennings,31,Male,Married,Salaried,Healthcare,17,PhD,407,Car Loan,Car Repair,276405,36,1,Poor,0.85,0.97,Missed Payments,126227,Stable,44871,Low,1,4,355841,Missed Payments,1
Susan Davis,51,Male,Single,Salaried,Finance,13,PhD,474,Home Loan,Property Investment,397665,12,4,Average,0.85,0.66,Missed Payments,64850,Unstable,195134,High,1,1,457461,On-Time,0
Kelsey Patel,36,Male,Divorced,Salaried,Education,10,Bachelors,668,Personal Loan,Medical Emergency,266097,12,4,Average,0.15,0.34,Late Payments,59797,Unstable,486305,High,1,3,96325,Missed Payments,0
Damon Hall,28,Female,Single,Unemployed,Healthcare,8,Bachelors,696,Car Loan,Vehicle Purchase,156244,84,4,Good,0.18,0.32,Missed Payments,90717,Stable,75622,High,0,4,93924,Late Payments,0
Elizabeth Burns,23,Male,Single,Self-Employed,Manufacturing,4,Bachelors,343,Car Loan,Vehicle Purchase,144251,36,0,Good,0.18,0.89,Late Payments,149681,Unstable,138074,High,1,2,458062,On-Time,0
Jessica Foster,46,Male,Single,Unemployed,Manufacturing,14,Masters,404,Personal Loan,Debt Consolidation,191533,12,4,Poor,0.8,0.4,Missed Payments,143256,Stable,372855,High,1,3,139975,Missed Payments,1
Cassandra Sellers,68,Female,Married,Self-Employed,Education,5,Bachelors,763,Car Loan,Car Repair,402138,60,1,Poor,0.67,0.6,Missed Payments,147555,Unstable,373060,Low,1,1,370100,Late Payments,0
Patricia Thompson,33,Male,Divorced,Unemployed,IT,4,Bachelors,309,Home Loan,Property Investment,369330,84,2,Poor,0.89,0.27,Missed Payments,47991,Unstable,145654,High,0,3,138797,Missed Payments,1
Teresa Banks,48,Female,Single,Self-Employed,Finance,9,High School,322,Personal Loan,Debt Consolidation,78553,36,4,Poor,0.88,0.77,Missed Payments,107084,Unstable,366432,Low,1,4,87741,Missed Payments,1
Patricia Jackson,18,Male,Divorced,Salaried,IT,5,High School,359,Home Loan,Home Renovation,120716,60,3,Good,0.17,0.5,On-Time,76664,Stable,138762,High,1,3,335345,On-Time,0
Chad Daniels,39,Male,Married,Salaried,Finance,15,Masters,672,Personal Loan,Wedding,118264,24,1,Good,0.27,0.5,On-Time,47981,Unstable,488654,Moderate,0,1,98451,Late Payments,0
Nathan Myers,52,Female,Single,Unemployed,Manufacturing,10,Bachelors,751,Business Loan,Working Capital,119862,84,4,Good,0.57,0.95,Missed Payments,167354,Stable,35675,High,0,4,78933,Late Payments,0
Jessica Miller,53,Male,Married,Self-Employed,Manufacturing,18,Masters,361,Car Loan,Vehicle Purchase,156780,84,3,Poor,0.83,0.43,Missed Payments,168804,Unstable,381264,High,0,4,185645,Late Payments,1
Jennifer Ross,43,Female,Married,Self-Employed,IT,8,High School,837,Car Loan,Vehicle Purchase,389663,12,3,Average,0.33,0.9,Late Payments,72656,Unstable,97647,High,1,1,360538,Missed Payments,0
Terry Rich,21,Female,Married,Unemployed,IT,2,High School,302,Car Loan,Car Repair,258586,72,3,Good,0.63,0.51,Missed Payments,69024,Stable,44915,Low,1,4,282302,On-Time,0
